location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05015,2020-02-03,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.13,11.09,5.91,,7.02,31.05,13.31,8.5,6.28,14.78,9.61,33.26,,8.5,,34.37,,,16.644444,12.9,20.366667,0.0,,2.95,40.27215
US_AR_05015,2020-02-04,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,7.01,13.67,8.76,,5.61,25.24,16.12,5.96,4.91,8.06,6.31,36.45,9.81,4.91,,37.85,5.26,5.61,8.133333,2.177778,17.327778,17.199429,,6.233333,87.861207
US_AR_05015,2020-02-05,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,14.7,7.7,5.25,4.9,29.74,9.45,6.3,,10.15,9.1,39.54,5.25,4.9,5.95,34.64,,5.6,1.094444,-0.422222,2.688889,5.805714,,0.327778,94.766858
US_AR_05015,2020-02-06,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,11.48,12.52,8.7,,27.83,15.65,6.61,9.39,8.35,,38.61,,5.57,5.57,34.09,7.3,5.22,-1.988889,-3.305556,-0.322222,6.0325,,-4.1,85.62824
US_AR_05015,2020-02-07,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,5.87,12.13,9.0,7.04,,25.04,8.22,10.56,6.26,,10.56,41.86,,11.35,,41.86,5.87,,-0.277778,-5.233333,7.95,0.1016,,-4.611111,72.665509
US_AR_05015,2020-02-08,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.86,12.31,9.36,,,32.5,17.73,10.83,,13.3,10.83,36.93,,7.39,,33.98,9.36,7.39,3.033333,-3.294444,10.916667,0.127,,-2.783333,65.777178
US_AR_05015,2020-02-09,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,11.37,9.95,8.53,8.05,22.27,13.74,14.21,,,10.42,37.43,,16.11,,45.48,11.37,,9.894444,4.027778,14.716667,0.47625,,3.905556,66.425617
US_AR_05015,2020-02-10,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,7.53,9.33,13.63,8.61,6.82,29.41,7.89,9.33,6.82,7.89,9.33,33.72,8.97,5.02,8.61,41.61,6.82,,5.066667,1.372222,13.333333,3.937,,4.355556,95.245822
US_AR_05015,2020-02-11,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,5.29,6.34,6.34,,6.34,21.85,8.46,9.87,9.16,9.16,8.46,31.37,5.99,,5.64,39.12,8.11,,2.377778,0.805556,5.205556,1.862667,,-0.1,83.935549
US_AR_05015,2020-02-12,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,15.65,9.31,9.69,5.22,5.59,22.73,10.06,8.57,5.96,7.08,9.31,27.94,,10.43,,32.04,5.59,6.71,2.969136,1.395062,4.91358,2.794,,1.006173,87.013009
