location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28163,2020-02-04,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,8.26,15.6,25.69,9.18,29.36,18.072222,15.05,21.866667,0.254,,14.993827,81.985707
US_MS_28163,2020-02-05,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,12.79,21.75,,30.71,17.604938,12.962963,21.654321,7.747,,16.125,92.659765
US_MS_28163,2020-02-06,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,6.77,15.23,17.77,8.04,28.76,7.694444,4.588889,13.527778,21.916571,,5.716049,90.104892
US_MS_28163,2020-02-07,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,17.84,25.31,7.47,22.82,4.072222,-0.672222,11.583333,6.640286,,-1.092593,69.504499
US_MS_28163,2020-02-08,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,19.09,23.71,,27.76,9.061111,2.794444,16.155556,0.0254,,1.475309,58.864561
US_MS_28163,2020-02-09,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,10.86,12.49,21.72,8.14,29.32,13.155556,6.038889,22.522222,0.0,,6.203704,61.95683
US_MS_28163,2020-02-10,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,8.47,10.59,28.38,8.47,31.34,18.105556,14.75,22.194444,13.353143,,15.740741,85.948303
US_MS_28163,2020-02-11,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,10.15,13.05,26.59,8.7,29.49,13.088889,8.022222,19.977778,57.15,,11.604938,93.238526
US_MS_28163,2020-02-12,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,16.1,21.46,,31.3,12.177778,8.005556,22.927778,17.997714,,10.851852,92.469419
US_MS_28163,2020-02-13,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,13.25,13.72,19.4,8.99,28.39,10.416667,6.588889,16.344444,30.48,,7.987654,87.161222
US_MS_28163,2020-02-14,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,,,,,12.45,16.14,,23.98,4.85,0.505556,9.772222,1.9304,,-1.617284,63.476063
US_MS_28163,2020-02-15,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,7,10,8,13.14,16.12,22.1,,31.65,6.838889,-0.422222,17.794444,0.0,,-1.901235,53.622401
US_MS_28163,2020-02-16,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,1,3,2,,15.08,26.25,,31.28,12.2,8.744444,16.305556,2.140857,,7.746914,73.507401
US_MS_28163,2020-02-17,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,-2,5,-19,18.99,17.96,30.28,,40.03,13.816667,10.677778,18.811111,0.85725,,11.938272,88.377531
US_MS_28163,2020-02-18,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,1,-6,2,8.18,14.1,25.46,,34.56,18.238889,13.333333,22.605556,2.25425,,16.91358,92.335616
US_MS_28163,2020-02-19,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,2,2,1,8.49,11.46,21.23,7.64,27.17,10.183333,7.927778,17.172222,11.139714,,8.308642,89.934492
US_MS_28163,2020-02-20,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,-4,-8,2,7.79,14.29,25.11,,29.88,7.538889,5.605556,9.727778,33.999714,,5.962963,90.181156
US_MS_28163,2020-02-21,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,3,0,1,,16.34,14.98,,25.42,3.605556,-0.572222,7.583333,12.361333,,-1.765432,68.199374
US_MS_28163,2020-02-22,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,17,13,8,,17.59,10.21,,35.75,4.055556,-1.994444,13.227778,0.0,,-2.08642,64.052682
US_MS_28163,2020-02-23,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,9,2,2,,9.28,21.46,17.4,34.22,8.844444,4.266667,14.288889,0.0,,4.518519,73.620226
US_MS_28163,2020-02-24,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,-2,5,-2,8.6,14.93,25.79,,28.05,13.405556,10.388889,17.372222,1.016,,11.037037,84.990762
US_MS_28163,2020-02-25,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,18,5,2,9.59,14.39,28.78,10.9,29.22,13.533333,7.544444,18.133333,5.4102,,10.104938,80.450291
US_MS_28163,2020-02-26,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,29,18,1,9.14,16.21,23.27,,24.1,9.527778,6.383333,14.866667,0.53975,,6.123457,79.353191
US_MS_28163,2020-02-27,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,19,15,1,10.64,15.97,27.43,,24.97,5.333333,0.35,10.194444,0.903111,,-2.62963,56.444665
US_MS_28163,2020-02-28,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,22,14,-2,,20.58,28.81,11.43,19.21,6.922222,0.733333,15.044444,0.0,,-0.666667,57.72825
US_MS_28163,2020-02-29,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,26,29,6,10.93,12.15,26.11,,26.72,9.894444,1.45,20.505556,0.0,,0.91358,53.239568
US_MS_28163,2020-03-01,ChIJnZhQNx2XKYYRVHyE9R1ebTE,Q486466,geoId/28163,US,United States of America,MS,Mississippi,28163,Yazoo County,US,USA,2,,,,,,,28659,16512,12147,3426,3501,4394,5144,3615,3415,2694,1528,942,1833667,32.78,-90.4,934,73.5,29,18,4,,21.86,27.04,8.63,24.74,13.327778,6.483333,21.866667,0.0,,3.833333,51.670074
