location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ND_38057,2020-02-11,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,17.21,21.04,-5.461111,-11.577778,0.816667,0.0,,-9.061111,75.959236
US_ND_38057,2020-02-12,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,,14.45,-12.161111,-21.983333,-0.122222,0.550333,,-15.838889,74.1656
US_ND_38057,2020-02-13,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,12.97,19.79,-22.072222,-27.683333,-14.255556,0.0,,-26.461111,67.568719
US_ND_38057,2020-02-14,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,100.0,22.56,-9.444444,-17.205556,3.524691,0.028222,,-13.272222,73.868308
US_ND_38057,2020-02-15,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,58.87,,-4.527778,-9.261111,2.033333,1.27,,-7.861111,77.631886
US_ND_38057,2020-02-16,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,29.2,,-7.583333,-11.044444,-3.488889,0.0,,-9.938889,83.320818
US_ND_38057,2020-02-17,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,-20,33.4,24.85,-5.016667,-7.833333,-3.055556,0.381,,-6.438889,89.820991
US_ND_38057,2020-02-18,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,-4,29.67,24.22,-15.022222,-20.45,-8.777778,0.127,,-19.55,68.382462
US_ND_38057,2020-02-19,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,2,19.52,19.52,-20.133333,-26.416667,-13.083333,0.0,,-25.116667,64.507406
US_ND_38057,2020-02-20,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,-2,10.5,17.91,-12.377778,-20.572222,1.444444,0.0508,,-16.672222,70.505865
