location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42067,2020-02-01,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,26.34,,42.26,,41.03,,2.177778,-1.066667,5.377778,0.028222,,-0.45,82.909121
US_PA_42067,2020-02-02,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,26.15,9.3,28.48,,46.49,8.72,2.644444,-0.611111,5.822222,0.53975,,-0.705556,78.838453
US_PA_42067,2020-02-03,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,13.52,29.51,9.84,32.58,,50.41,10.45,8.722222,0.355556,17.144444,0.2286,,0.511111,56.57595
US_PA_42067,2020-02-04,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,10.17,32.9,10.77,31.7,,53.84,9.57,9.35,2.122222,16.766667,0.15875,,4.522222,72.206347
US_PA_42067,2020-02-05,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,28.27,11.78,39.46,,36.52,,4.172222,1.472222,13.694444,1.27,,-0.938889,69.584111
US_PA_42067,2020-02-06,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,10.54,30.45,10.54,33.38,,33.38,8.78,2.011111,0.261111,5.722222,1.397,,0.177778,87.769324
US_PA_42067,2020-02-07,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,8.69,20.27,,26.65,,31.28,8.69,3.311111,-0.388889,5.933333,8.128,,1.133333,85.82706
US_PA_42067,2020-02-08,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,13.73,26.22,,24.35,9.99,46.2,,-0.188889,-2.705556,5.133333,12.85875,,-6.488889,63.121241
US_PA_42067,2020-02-09,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,32.47,,28.18,,46.57,,0.772222,-3.283333,5.261111,0.09525,30.48,-3.644444,72.618001
US_PA_42067,2020-02-10,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,9.09,29.53,,39.19,,42.6,11.93,5.211111,-0.744444,7.583333,1.42875,,1.194444,75.879497
US_PA_42067,2020-02-11,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,8.33,34.42,13.32,33.87,10.55,37.75,13.32,6.005556,3.527778,8.388889,2.7305,,4.35,89.211662
US_PA_42067,2020-02-12,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,24.86,16.77,32.38,,45.68,,3.538889,-0.655556,7.677778,0.47625,,-3.972222,58.181522
US_PA_42067,2020-02-13,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,19.17,10.45,33.11,,36.59,,4.0,-0.177778,6.905556,5.81025,,1.9,86.320745
US_PA_42067,2020-02-14,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,,,,,,32.31,11.21,35.61,,48.8,,-1.327778,-5.572222,6.038889,1.397,,-9.866667,52.606386
US_PA_42067,2020-02-15,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,12,-10,-5,,,26.23,15.36,39.03,12.16,35.83,12.16,-6.377778,-12.138889,2.011111,0.0,,-14.55,52.792139
US_PA_42067,2020-02-16,ChIJ9wRa4SQwyYkRI8aIsee8li0,Q501270,geoId/42067,US,United States of America,PA,Pennsylvania,42067,Juniata County,US,USA,2,,,,,,,24635,12363,12272,2924,3196,2705,2709,2967,3558,3202,2088,1286,416678,40.53,-77.4,1019,79.38,7,-8,-4,,10.45,27.03,11.67,30.11,,42.39,,-0.116667,-6.438889,4.805556,0.0,,-7.655556,56.960154
