location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29157,2020-02-15,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,5,10,-7,,,12.7,16.32,,25.85,-0.833333,-7.55,8.488889,0.0,,-7.172222,62.327943
US_MO_29157,2020-02-16,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,2,6,-3,,,19.34,20.24,,34.18,5.933333,-0.016667,12.172222,0.0,,-0.144444,65.139061
US_MO_29157,2020-02-17,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,1,-1,-7,,5.29,7.28,21.17,5.95,24.8,7.505556,2.455556,13.65,0.03175,,4.222222,79.737865
US_MO_29157,2020-02-18,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,-9,-21,-4,,5.05,10.44,20.89,6.06,20.55,7.727778,3.394444,11.977778,1.669143,,5.172222,83.932866
US_MO_29157,2020-02-19,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,-5,-1,-3,,5.86,11.71,14.81,,22.73,1.694444,-3.177778,8.366667,0.0,,-3.605556,68.02033
US_MO_29157,2020-02-20,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,7,8,0,,5.35,10.03,17.71,,28.75,0.855556,-1.805556,4.755556,0.0,,-5.388889,63.150437
US_MO_29157,2020-02-21,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,7,-3,-3,,8.14,6.02,13.81,6.73,20.89,-3.111111,-9.105556,4.35,0.0762,,-11.177778,53.894954
US_MO_29157,2020-02-22,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,2,1,4,,,10.78,15.93,,23.9,0.905556,-6.488889,9.672222,0.0,,-7.405556,54.347348
US_MO_29157,2020-02-23,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,2,1,-7,,7.96,14.14,14.59,7.07,28.29,6.755556,1.527778,12.988889,0.0,,-0.611111,59.743311
US_MO_29157,2020-02-24,ChIJN5vYwLzpd4gRIhTgU4nRkGo,Q489901,geoId/29157,US,United States of America,MO,Missouri,29157,Perry County,US,USA,2,,,,,,,19262,9604,9658,2355,2570,2274,2236,2392,2703,2417,1394,921,1180441,37.71,-89.83,1254,81.38,-1,5,-1,,7.43,15.19,19.24,,24.98,7.344444,5.883333,10.188889,6.773333,,6.372222,93.613585
