location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48067,2020-02-02,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,14.2,9.77,,22.64,7.55,7.55,16.87,,38.17,7.55,12.011111,2.216667,26.133333,0.0,,0.905556,46.768696
US_TX_48067,2020-02-03,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,10.15,11.66,,28.2,8.27,8.27,35.35,7.52,35.72,,15.488889,8.627778,21.794444,0.112889,,7.544444,59.447134
US_TX_48067,2020-02-04,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,5.15,13.62,11.04,23.19,11.04,9.57,28.34,8.47,34.23,5.89,18.355556,12.161111,22.916667,1.2446,,15.605556,84.148011
US_TX_48067,2020-02-05,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.61,8.08,8.44,17.99,9.54,8.44,29.73,8.08,35.61,5.14,7.655556,5.027778,14.066667,2.7432,,6.027778,89.504901
US_TX_48067,2020-02-06,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,5.69,11.01,8.73,20.87,9.49,12.14,31.88,6.07,35.3,9.11,2.661111,0.666667,6.483333,7.6708,,-0.222222,81.417138
US_TX_48067,2020-02-07,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.49,14.39,,12.92,8.86,8.12,46.13,,32.85,7.75,3.388889,-3.655556,16.716667,0.508,,-2.85,64.029319
US_TX_48067,2020-02-08,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.95,10.92,,18.37,10.92,7.95,38.73,7.45,43.7,,8.711111,0.955556,17.605556,0.0,,0.633333,57.018604
US_TX_48067,2020-02-09,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,10.14,15.2,,21.19,8.75,8.29,38.7,9.68,48.84,9.21,14.566667,8.45,21.277778,0.03175,,7.233333,61.511005
US_TX_48067,2020-02-10,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,5.39,15.08,8.62,19.39,8.98,6.82,33.39,5.75,34.83,8.26,16.711111,12.594444,19.416667,10.1854,,15.344444,91.679446
US_TX_48067,2020-02-11,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,12.68,5.8,18.47,7.97,8.69,27.17,5.43,42.02,10.14,8.994444,6.588889,13.85,26.7208,,7.922222,93.035527
US_TX_48067,2020-02-12,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.74,15.3,7.65,25.14,13.84,13.84,28.78,,34.61,7.29,6.955556,5.683333,9.677778,32.1056,,6.138889,94.626583
US_TX_48067,2020-02-13,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.0,9.38,6.0,25.89,9.01,8.63,29.65,,31.15,5.63,6.966667,4.883333,9.288889,11.7348,,3.161111,76.811854
US_TX_48067,2020-02-14,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.24,12.49,7.49,19.15,12.9,7.91,27.47,,29.97,6.24,4.355556,-1.283333,10.827778,1.1176,,-2.244444,62.314611
US_TX_48067,2020-02-15,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,4,-2,-6,3,,9.1,7.28,,18.66,7.28,,29.58,8.65,44.6,,5.777778,-1.338889,15.505556,0.7874,,-0.1,66.04977
US_TX_48067,2020-02-16,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,0,7,-8,-6,,,9.76,7.99,17.3,10.65,,27.07,,38.6,,13.622222,10.622222,18.127778,0.5588,,10.366667,80.848788
US_TX_48067,2020-02-17,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,4,-2,11,-19,,9.06,9.06,9.93,19.42,12.08,12.95,27.62,6.91,40.57,,15.872222,12.727778,21.577778,0.2794,,13.738889,87.245461
US_TX_48067,2020-02-18,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,-7,-5,0,-1,1,10.57,9.84,5.1,18.95,9.11,16.4,22.95,8.74,37.53,6.56,18.161111,10.216667,22.338889,0.3556,,16.716667,91.328546
US_TX_48067,2020-02-19,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,1,-7,1,2,0,8.66,12.62,7.21,12.26,11.54,7.93,20.92,6.49,38.95,6.49,7.433333,5.122222,10.661111,6.9596,,4.894444,84.387775
US_TX_48067,2020-02-20,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,0,-8,3,-2,1,8.65,8.29,,18.02,6.85,10.09,30.99,5.05,43.97,7.21,6.138889,4.827778,8.722222,32.6136,,3.722222,84.703039
US_TX_48067,2020-02-21,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,2,-1,-5,4,1,,10.04,5.21,8.92,5.21,,24.54,9.29,34.95,8.92,4.244444,-0.788889,9.733333,2.6416,,-1.994444,63.955813
US_TX_48067,2020-02-22,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,8,-2,0,12,,10.4,11.3,,13.11,10.4,8.14,30.3,7.69,50.65,6.78,4.644444,-1.055556,13.344444,0.0254,,-2.405556,60.372328
US_TX_48067,2020-02-23,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,-4,2,2,-3,,9.05,9.48,6.46,18.53,8.62,,19.39,11.63,45.24,6.46,8.594444,4.166667,12.511111,0.254,,4.272222,74.400113
