location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54009,2020-02-01,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.59,7.88,6.51,,6.51,17.12,7.53,9.93,5.82,34.93,6.16,8.56,42.81,7.19,8.22,0.462963,-1.574074,4.049383,1.959429,,-1.006173,89.923936
US_WV_54009,2020-02-02,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,5.96,8.61,9.6,,,17.88,7.62,,5.96,32.12,,11.59,33.12,8.61,,3.882716,-1.104938,12.444444,1.342571,,-0.345679,74.062597
US_WV_54009,2020-02-03,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.25,12.11,7.7,9.08,4.95,26.68,7.15,6.33,8.8,30.26,7.7,5.78,35.49,6.33,6.33,9.58642,0.104938,17.320988,0.338667,,1.882716,58.898544
US_WV_54009,2020-02-04,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.42,9.69,11.85,8.62,,21.81,10.77,7.0,9.96,32.58,6.46,4.31,42.53,7.0,7.27,12.037037,1.530864,16.895062,0.943429,,6.185185,67.527476
US_WV_54009,2020-02-05,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,5.67,10.0,10.81,5.4,4.05,16.48,10.27,7.02,8.91,27.29,5.4,4.86,39.71,,6.75,0.734568,-1.333333,4.802469,7.039429,,-2.62963,78.319713
US_WV_54009,2020-02-06,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.28,9.01,7.64,10.65,4.64,17.47,9.28,4.37,9.83,35.49,8.46,5.19,35.76,4.91,6.55,2.777778,-1.030864,5.524691,6.821714,,1.691358,92.670081
US_WV_54009,2020-02-07,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.82,8.21,7.3,5.47,4.26,17.94,7.3,4.87,8.82,58.98,8.21,6.08,36.18,5.17,5.17,-0.882716,-2.925926,3.277778,10.776857,,-2.283951,90.248057
US_WV_54009,2020-02-08,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.05,10.41,9.41,7.73,5.71,18.48,10.41,6.05,6.72,41.33,6.05,9.07,39.31,6.05,7.39,-2.567901,-5.549383,1.006173,2.032,78.74,-5.030864,83.186804
US_WV_54009,2020-02-09,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.79,10.71,7.79,6.81,5.52,24.01,9.73,,9.41,26.93,6.17,7.14,35.37,,,-0.290123,-4.864198,2.709877,0.508,50.8,-2.746914,83.534237
US_WV_54009,2020-02-10,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.69,10.65,10.09,5.6,3.92,20.73,16.53,4.48,7.28,40.62,5.32,6.16,43.14,7.84,6.72,5.351852,-1.37037,7.950617,7.329714,50.8,3.45679,87.756549
US_WV_54009,2020-02-11,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.59,12.74,7.76,5.54,8.03,15.51,9.97,6.93,9.42,31.58,,8.03,40.17,6.65,5.54,2.888889,0.567901,6.845679,4.136571,,1.851852,92.950587
US_WV_54009,2020-02-12,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.01,10.25,9.71,,4.04,15.64,10.52,,7.01,35.06,6.74,6.47,40.72,9.71,7.01,0.641975,-3.351852,4.296296,0.798286,,-3.376543,74.534136
US_WV_54009,2020-02-13,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.43,11.55,11.0,5.5,5.5,14.58,10.45,5.5,9.63,24.48,8.53,7.43,34.93,6.05,7.7,1.283951,-2.450617,3.611111,17.707429,,0.049383,91.520732
