location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26153,2020-02-11,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,34.2,-4.127778,-8.038889,-0.861111,0.072571,-7.633333,77.349172
US_MI_26153,2020-02-12,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,33.16,37.48,-3.661111,-7.794444,0.877778,0.0635,-7.577778,73.638364
US_MI_26153,2020-02-13,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,35.08,36.55,-12.766667,-16.566667,-4.533333,0.108857,-16.588889,72.123644
US_MI_26153,2020-02-14,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,33.53,-14.5,-18.777778,-9.188889,0.362857,-20.111111,63.960884
US_MI_26153,2020-02-15,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,33.5,,-7.372222,-11.872222,-3.7,0.0,-12.422222,67.886376
US_MI_26153,2020-02-16,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,,-6.544444,-10.561111,-3.238889,0.653143,-10.544444,73.500135
US_MI_26153,2020-02-17,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,7,,,-9,27.04,28.33,-10.477778,-19.216667,-1.588889,0.0762,-15.088889,72.153177
US_MI_26153,2020-02-18,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,-43,,,-9,21.87,45.1,-2.655556,-5.066667,-0.722222,1.157111,-5.188889,82.006302
US_MI_26153,2020-02-19,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,2,,,,41.89,36.65,-8.955556,-12.016667,-3.627778,1.3716,-14.0,67.208919
US_MI_26153,2020-02-20,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,23.77,39.62,-11.044444,-15.133333,-6.411111,0.254,-16.5,64.227697
US_MI_26153,2020-02-21,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,3,,,,28.96,,-6.894444,-12.844444,0.761111,0.1016,-14.0,57.854293
US_MI_26153,2020-02-22,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,30.68,-1.411111,-6.361111,3.177778,0.0,-5.677778,72.473365
US_MI_26153,2020-02-23,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,51.21,1.311111,-2.577778,5.666667,0.0,-1.577778,80.265361
US_MI_26153,2020-02-24,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,33.17,33.17,1.566667,-2.272222,5.972222,0.0,-3.366667,68.78626
US_MI_26153,2020-02-25,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,34.87,36.27,-1.577778,-4.227778,2.633333,0.0,-5.433333,75.101222
US_MI_26153,2020-02-26,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,21.62,45.63,-4.994444,-7.577778,-1.655556,0.0,-10.522222,64.701452
US_MI_26153,2020-02-27,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,38.15,43.23,-7.594444,-9.272222,-5.2,0.834571,-12.122222,69.919133
US_MI_26153,2020-02-28,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,-8,,,,19.54,41.53,-7.477778,-8.888889,-5.661111,1.378857,-10.866667,77.125022
US_MI_26153,2020-02-29,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,55.26,43.54,-5.661111,-10.088889,-0.622222,0.169333,-12.455556,58.114071
US_MI_26153,2020-03-01,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,36.52,36.52,-0.122222,-3.672222,4.022222,0.0,-5.255556,67.651717
US_MI_26153,2020-03-02,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,32.76,41.93,1.183333,-2.244444,3.755556,0.0,-2.822222,73.410864
US_MI_26153,2020-03-03,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,-9,,,0,22.79,37.98,-1.438889,-5.55,2.883333,0.03175,-3.455556,86.451694
US_MI_26153,2020-03-04,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,34.37,33.09,-0.611111,-4.372222,1.538889,0.108857,-4.344444,75.546677
US_MI_26153,2020-03-05,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,3,,,-12,38.62,22.07,-2.522222,-7.2,1.022222,0.34925,-4.511111,87.364203
US_MI_26153,2020-03-06,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,2,,,-16,27.14,39.91,-2.972222,-6.255556,0.483333,6.124222,-5.333333,82.07278
