location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MD_24029,2020-02-09,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,11.88,9.68,8.36,18.47,7.48,6.6,26.83,,44.42,9.24,3.327778,-0.916667,8.105556,0.0,,-1.888889,69.317356
US_MD_24029,2020-02-10,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.58,6.79,13.57,19.56,6.79,6.79,34.72,,36.32,,6.666667,3.594444,8.505556,0.435429,,3.788889,81.717639
US_MD_24029,2020-02-11,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.63,8.39,9.15,16.78,9.54,6.87,30.52,9.54,38.14,6.1,8.938889,6.966667,11.005556,1.560286,,8.402778,96.316261
US_MD_24029,2020-02-12,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,9.3,7.36,22.48,10.08,6.98,31.01,6.98,36.05,,6.972222,4.244444,10.238889,0.60325,,0.022222,61.355558
US_MD_24029,2020-02-13,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,9.2,14.36,,14.73,8.1,7.36,30.92,,29.45,5.89,7.383333,3.433333,12.388889,0.435429,,6.1,91.534689
US_MD_24029,2020-02-14,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.62,10.43,8.82,14.44,7.62,,22.46,10.43,29.68,6.42,3.611111,-0.611111,9.383333,0.5588,,-4.955556,53.984602
US_MD_24029,2020-02-15,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,5,3,6,8.59,8.11,8.11,15.26,7.15,,24.32,8.11,38.15,10.02,-3.094444,-6.955556,1.244444,0.0,,-12.4,48.2758
US_MD_24029,2020-02-16,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,5,-3,,8.03,11.6,11.6,17.4,14.27,9.81,31.23,9.81,47.73,,2.494444,-1.75,8.088889,0.0,,-3.5,63.471799
US_MD_24029,2020-02-17,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,3,0,-20,8.77,9.57,10.37,19.54,6.38,,27.91,,35.48,,5.7,1.805556,9.95,0.0,,-0.444444,65.495121
US_MD_24029,2020-02-18,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,7,-3,4,10.12,8.99,12.37,16.49,13.87,7.87,32.23,,36.72,6.75,6.927778,2.666667,12.955556,0.0,,3.166667,77.888534
US_MD_24029,2020-02-19,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,5,-3,-3,7.1,8.6,7.47,20.18,12.71,11.21,23.55,11.59,32.52,7.85,8.638889,5.194444,11.966667,0.036286,,-0.877778,51.354752
US_MD_24029,2020-02-20,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,1,-5,4,6.84,7.22,9.88,15.96,9.5,11.02,28.11,5.7,34.57,,2.944444,0.616667,8.138889,0.0254,,-7.988889,45.647993
US_MD_24029,2020-02-21,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,0,-11,4,5.81,10.07,12.0,10.07,8.13,7.74,19.75,,34.07,5.42,-0.744444,-4.394444,2.777778,0.0,,-11.022222,45.255993
