location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28085,2020-02-01,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,11.43,11.06,,,20.65,11.43,9.22,28.77,,8.11,29.87,7.38,8.48,9.377778,5.027778,14.588889,0.0508,,4.766667,73.098435
US_MS_28085,2020-02-02,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.35,10.53,7.63,,17.07,5.45,7.99,30.14,9.44,6.9,39.22,,,10.255556,2.0,22.888889,0.0,,2.477778,58.804686
US_MS_28085,2020-02-03,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,10.97,12.07,8.5,6.03,19.47,7.68,10.97,27.42,4.39,6.03,38.39,6.31,6.58,15.188889,6.85,22.95,0.0,,8.311111,63.821388
US_MS_28085,2020-02-04,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,4.95,13.97,8.15,,18.05,6.99,8.15,27.37,4.95,5.53,36.98,7.57,4.66,18.277778,14.138889,22.522222,0.127,,15.238889,82.59441
US_MS_28085,2020-02-05,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,9.59,11.78,8.49,5.21,15.62,4.93,10.41,24.39,5.21,6.85,32.88,5.21,4.38,20.308642,16.166667,22.833333,2.902857,,18.938272,91.950771
US_MS_28085,2020-02-06,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.59,11.8,9.33,7.13,14.82,8.23,6.86,26.89,7.41,8.78,43.36,5.49,4.39,9.694444,5.461111,16.844444,29.0195,,8.088889,89.873301
US_MS_28085,2020-02-07,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.03,11.19,6.6,,15.79,4.88,6.31,35.87,,6.03,31.57,10.33,5.17,4.744444,-1.355556,13.894444,1.80975,,-1.327778,65.022175
US_MS_28085,2020-02-08,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.99,11.63,7.63,,18.53,5.81,6.9,28.34,,10.17,34.88,5.81,,10.233333,3.966667,17.788889,0.0,,2.7,59.816965
US_MS_28085,2020-02-09,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,10.65,8.82,5.88,5.51,18.37,8.45,,29.02,8.45,7.71,37.83,9.55,,14.055556,6.727778,23.066667,0.127,,7.672222,65.998794
US_MS_28085,2020-02-10,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,9.81,11.99,4.09,,13.62,10.08,7.63,24.52,5.72,5.45,33.24,7.08,7.08,19.094444,15.044444,24.061111,14.224,,16.627778,85.756914
US_MS_28085,2020-02-11,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.32,6.5,4.34,4.34,17.07,8.13,8.94,27.64,7.59,6.5,33.88,7.86,,16.755556,10.844444,22.983333,25.273,,15.177778,90.710819
US_MS_28085,2020-02-12,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.98,9.04,6.91,5.32,10.64,10.64,5.58,26.86,4.52,9.57,35.9,4.79,,15.005556,10.488889,25.411111,9.144,,13.477778,90.731597
US_MS_28085,2020-02-13,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.58,8.23,4.51,,11.68,10.62,10.35,24.69,5.31,9.56,35.84,7.96,4.51,12.372222,7.75,19.494444,25.74925,,10.227778,86.952432
US_MS_28085,2020-02-14,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.98,9.21,6.7,5.03,14.24,8.93,10.33,23.17,4.47,4.19,22.61,4.75,,6.422222,1.638889,11.961111,2.5654,,-0.355556,62.073896
US_MS_28085,2020-02-15,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,14,7,0,,7.03,10.35,,,18.49,8.51,8.88,16.64,,,35.87,,7.4,8.044444,0.155556,19.1,0.0,,-1.7,50.397444
US_MS_28085,2020-02-16,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,12,-7,4,,7.46,9.23,,6.04,19.88,9.59,8.88,24.85,,,39.76,,,12.594444,9.461111,15.9,8.1915,,8.666667,77.207771
US_MS_28085,2020-02-17,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,7,-3,-9,,8.64,10.94,,6.05,15.55,7.77,8.64,25.62,5.18,8.64,36.56,6.62,5.18,14.072222,11.583333,18.655556,4.572,,12.583333,90.934063
US_MS_28085,2020-02-18,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,-2,-3,4,,10.37,10.11,9.07,7.51,14.51,7.0,10.11,25.65,6.48,6.22,39.65,8.03,5.7,19.111111,15.038889,23.827778,0.282222,,17.827778,92.408189
US_MS_28085,2020-02-19,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,-2,-9,2,,7.96,9.75,9.24,,14.11,10.27,4.62,26.18,4.62,5.9,32.33,7.44,7.18,12.694444,9.755556,20.744444,3.429,,11.688889,93.740967
