location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WI_55113,2020-02-11,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,21.72,,41.16,,38.3,10.29,-4.125,-6.166667,-2.638889,0.0,-8.690476,71.553562
US_WI_55113,2020-02-12,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,8.79,14.66,,28.73,,31.07,,-4.1875,-9.291667,-0.402778,0.084667,-8.309524,73.730566
US_WI_55113,2020-02-13,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,,24.67,11.47,32.7,,40.73,,-17.520833,-23.0625,-9.236111,0.0,-24.095238,58.947811
US_WI_55113,2020-02-14,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,,,,,10.26,14.25,,26.21,8.55,29.06,,-20.173611,-28.375,-9.666667,0.0,-27.246032,55.38722
US_WI_55113,2020-02-15,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,14,14,5,,,15.15,,30.3,,42.42,9.09,-7.472222,-12.180556,-0.138889,0.0,-13.912698,60.285173
US_WI_55113,2020-02-16,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,27,33,-2,,10.07,17.17,13.03,22.5,,40.26,11.25,-8.876543,-16.919753,-2.185185,0.0,-16.777778,52.945183
US_WI_55113,2020-02-17,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,6,2,-3,9.72,,26.47,,36.74,,42.14,8.64,-6.808642,-13.950617,1.012346,0.0,-13.215278,58.67219
US_WI_55113,2020-02-18,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,7,14,-3,9.69,,20.46,8.08,26.39,,35.54,10.77,-5.469136,-10.358025,-0.32716,1.778,-8.979167,76.451437
US_WI_55113,2020-02-19,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,13,2,-8,10.35,,16.88,,22.32,13.07,27.23,,-15.969136,-23.283951,-10.364198,0.0,-22.479167,58.343769
US_WI_55113,2020-02-20,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,64,50,-5,,13.97,11.82,,18.8,,29.55,,-19.333333,-27.888889,-9.728395,0.0,-25.847222,59.203835
US_WI_55113,2020-02-21,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,43,39,-11,,,12.59,8.39,16.79,,21.45,8.39,-8.395833,-15.625,3.423611,0.0,-15.0,61.254424
US_WI_55113,2020-02-22,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,84,47,2,,,13.21,7.08,24.06,12.27,28.78,,-2.430556,-11.381944,7.180556,0.0,-7.103175,73.642468
US_WI_55113,2020-02-23,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,17,29,-4,,8.0,14.4,11.73,21.33,,34.13,,2.0625,-3.347222,8.173611,0.0,-3.142857,70.318363
US_WI_55113,2020-02-24,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,11,-11,4,,11.13,19.91,,32.8,,27.53,,-0.340278,-9.041667,5.291667,0.0,-6.063492,66.268979
US_WI_55113,2020-02-25,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,16,-7,0,,8.2,21.32,13.12,42.1,,38.28,,-2.375,-7.6875,2.055556,0.0,-7.15873,69.409324
US_WI_55113,2020-02-26,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,1,5,-2,,9.83,27.3,9.83,37.67,,37.12,8.19,-4.090278,-6.701389,-1.034722,0.0,-9.412698,66.633883
US_WI_55113,2020-02-27,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,0,8,-2,,,19.04,12.32,44.23,8.4,30.79,8.4,-8.12963,-10.580247,-5.555556,0.0,-15.055556,58.326669
US_WI_55113,2020-02-28,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,2,-6,5,,,20.53,9.43,32.18,,28.85,,-12.012346,-19.697531,-4.95679,0.0,-19.25,57.325894
US_WI_55113,2020-02-29,ChIJc1DvtlXzq1IRSWSU1qjeZKE,Q500784,geoId/55113,US,United States of America,WI,Wisconsin,55113,Sawyer County,US,USA,2,,,,,,,16367,8344,8023,1774,1757,1447,1489,1662,2545,3011,1847,835,270801,45.9,-91.14,3497,9,7,0,,,13.09,,31.17,,29.3,,-10.259259,-19.382716,1.82716,0.0,-16.236111,63.527854
