location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47131,2020-01-31,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,12.94,10.61,7.96,6.63,,32.17,10.28,15.92,6.96,4.64,7.63,36.15,8.29,7.63,4.64,47.1,6.3,5.64,5.17284,3.746914,7.080247,0.3048,4.333333,94.385247
US_TN_47131,2020-02-01,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,7.44,13.71,5.87,6.27,,24.67,10.57,,5.48,,8.22,39.55,5.48,8.62,9.79,45.82,8.22,,6.888889,4.8125,11.152778,0.15875,4.020833,82.105082
US_TN_47131,2020-02-02,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,8.62,14.88,7.83,5.88,,27.81,9.4,13.32,,5.88,11.36,34.46,6.27,5.48,7.44,39.95,10.97,9.01,9.298611,3.548611,19.013889,0.0,2.076389,60.886415
US_TN_47131,2020-02-03,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,4.75,11.54,8.14,6.79,6.79,25.11,8.48,10.18,5.09,8.14,6.79,22.73,,5.77,7.8,40.38,11.54,8.14,14.240741,10.123457,19.679012,0.0,6.160494,58.715255
US_TN_47131,2020-02-04,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,8.94,12.58,6.29,4.97,,22.18,7.62,8.94,5.63,6.62,9.27,31.12,7.62,6.95,7.28,45.36,9.6,5.63,14.746914,8.808642,17.58642,0.254,12.820988,88.448277
US_TN_47131,2020-02-05,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,4.59,13.11,10.82,6.23,5.25,16.39,8.2,14.43,,8.85,8.85,27.87,7.21,9.51,5.9,42.95,7.54,5.57,5.345679,3.58642,7.987654,4.0132,4.728395,95.876062
US_TN_47131,2020-02-06,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,4.91,11.46,8.52,,5.9,28.82,9.5,11.79,7.86,,12.45,48.15,6.55,8.52,6.55,39.63,7.86,6.88,1.932099,0.703704,3.5,1.8288,0.845679,92.644525
US_TN_47131,2020-02-07,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,6.35,14.7,6.01,5.35,6.01,24.73,14.04,9.36,5.01,,13.03,29.41,5.35,5.68,5.35,35.09,6.01,5.01,1.314815,-0.703704,4.888889,0.145143,-3.222222,72.278991
US_TN_47131,2020-02-08,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.74,10.74,7.55,5.57,7.95,13.92,9.15,11.13,,,10.74,32.61,8.35,8.35,,39.76,,8.75,3.347222,-0.548611,7.5625,0.0,-1.9375,68.449
US_TN_47131,2020-02-09,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.22,14.16,12.98,,7.08,16.12,10.62,6.29,6.29,6.68,10.62,25.95,,7.47,,40.5,8.26,,7.819444,-0.118056,18.409722,0.0,1.930556,66.597936
US_TN_47131,2020-02-10,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,9.0,10.66,6.33,6.67,10.33,18.33,12.66,7.33,5.33,,10.0,25.99,6.33,5.67,6.33,47.65,6.67,8.0,10.339506,5.660494,15.37037,2.8956,9.074074,91.98669
US_TN_47131,2020-02-11,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,9.41,13.45,8.4,9.08,6.39,18.15,13.11,7.39,6.39,,5.04,37.98,,6.05,6.39,44.37,7.06,5.38,4.04321,2.537037,6.104938,2.413,2.259259,88.24979
US_TN_47131,2020-02-12,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,5.28,9.56,10.22,7.58,6.59,19.46,13.19,13.52,,4.95,13.19,30.34,4.95,6.26,6.26,44.85,,5.94,4.368056,3.375,5.541667,0.254,3.138889,91.787328
