location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26031,2020-02-08,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.87,11.4,7.6,,,21.96,8.45,,,22.39,6.76,8.03,6.33,27.88,7.6,7.18,-12.444444,-17.938889,-5.205556,0.1016,-16.450617,72.690856
US_MI_26031,2020-02-09,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.94,10.97,12.19,6.5,7.72,24.39,6.91,,,27.23,,8.94,,34.55,10.16,,-5.133333,-9.2,-1.9,0.381,-8.308642,77.574541
US_MI_26031,2020-02-10,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,7.97,8.37,5.98,,,21.53,10.37,,7.58,28.7,,5.98,,34.68,5.98,6.78,-3.794444,-9.044444,-0.722222,4.148667,-5.567901,87.025511
US_MI_26031,2020-02-11,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,5.57,6.68,,,,21.53,,,,30.82,,,5.94,43.07,7.42,,-3.688889,-7.933333,-0.816667,0.0,-5.993827,82.824124
US_MI_26031,2020-02-12,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,10.87,7.12,,6.37,21.73,9.37,5.62,9.74,27.35,,5.62,7.49,35.22,,,-1.455556,-6.216667,3.1,0.03175,-5.95679,70.438587
US_MI_26031,2020-02-13,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,7.75,8.12,7.75,5.9,18.82,9.22,,,32.1,,6.27,,39.48,,5.54,-11.211111,-17.683333,1.572222,0.7112,-15.179012,73.25715
US_MI_26031,2020-02-14,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,7.94,,,,17.88,11.92,,8.74,27.01,,,,30.19,7.94,,-12.888889,-18.905556,-6.222222,0.7112,-17.018519,70.126263
US_MI_26031,2020-02-15,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,17,7,9,,,7.62,8.02,,,17.65,7.22,,,25.27,,,7.22,34.49,6.02,,-7.633333,-13.261111,-2.161111,0.0508,-11.32716,73.063571
US_MI_26031,2020-02-16,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,32,13,4,,7.78,8.56,7.78,,6.23,15.96,,7.39,5.84,26.08,7.01,8.17,,35.42,8.95,,-3.95,-9.322222,-1.15,0.254,-8.209877,72.208135
US_MI_26031,2020-02-17,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,9,-1,-12,,5.66,7.78,5.66,5.66,4.95,15.2,8.13,6.37,7.78,21.92,4.95,6.72,6.01,36.77,9.55,6.72,-9.316667,-17.25,-1.477778,0.0,-14.32716,67.05317
US_MI_26031,2020-02-18,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,-12,-19,-3,,6.78,9.64,7.86,,,17.14,5.36,,,27.85,6.78,5.0,6.43,31.42,7.5,6.78,-2.588889,-4.688889,-0.555556,1.820333,-4.339506,87.057374
US_MI_26031,2020-02-19,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,2,0,2,,,7.0,7.0,,,14.01,5.53,,,25.8,,6.63,,36.12,5.9,,-7.538889,-10.294444,-1.922222,2.54,-12.209877,68.782822
