location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55123,2020-02-05,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.51,10.62,11.59,10.62,4.83,,24.79,8.69,5.15,9.66,4.51,8.05,,8.05,30.26,5.47,5.15,4.83,29.94,5.79,,-7.844444,-12.555556,-2.266667,0.0,78.74,-14.296296,59.515868
US_WI_55123,2020-02-06,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.55,6.53,8.48,6.53,,,26.1,8.16,,6.2,6.2,9.46,7.83,6.85,31.97,5.87,4.57,,34.26,6.2,4.57,-6.466667,-12.838889,0.566667,0.0,78.74,-12.475309,62.032176
US_WI_55123,2020-02-07,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.52,,6.13,10.01,,5.49,18.08,8.72,4.84,6.46,10.01,8.39,6.13,5.49,27.44,,,5.17,31.96,4.84,7.1,-5.827778,-10.883333,0.194444,0.0,50.8,-10.67284,68.340852
US_WI_55123,2020-02-08,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,5.95,5.95,,,,25.78,7.93,,9.92,,5.55,,6.35,22.21,,5.55,,36.1,,,-4.738889,-8.122222,-1.75,0.028222,50.8,-8.703704,74.078873
US_WI_55123,2020-02-09,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.5,8.07,8.8,8.8,5.87,5.13,16.86,9.17,,9.9,,5.5,,,30.06,,5.5,,39.23,9.17,6.97,-6.972222,-11.977778,-2.633333,3.410857,140.97,-9.759259,80.181547
US_WI_55123,2020-02-10,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.45,7.31,4.77,12.39,6.99,5.4,20.02,7.63,,9.22,4.77,6.99,4.77,,21.93,7.95,,6.04,33.37,7.31,4.77,-10.305556,-20.961111,-2.027778,6.293556,154.94,-12.740741,81.769615
US_WI_55123,2020-02-11,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.84,7.79,8.43,10.06,6.81,,16.22,4.54,4.54,4.54,6.49,8.11,,6.49,30.49,6.49,6.81,,37.95,10.38,5.19,-6.761111,-12.605556,-2.044444,0.0,255.27,-9.82716,79.524649
US_WI_55123,2020-02-12,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.44,4.76,4.76,5.39,,4.44,18.39,7.61,4.76,8.56,4.76,7.93,,7.29,29.81,5.39,7.93,6.66,36.79,6.66,,-4.238889,-11.683333,2.894444,0.0254,224.79,-8.567901,72.014429
US_WI_55123,2020-02-13,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.34,7.44,5.27,7.75,4.34,4.34,15.19,9.61,,5.89,4.65,,,5.27,30.07,4.96,5.58,9.61,28.83,5.27,,-11.366667,-18.511111,-0.45,1.100667,240.03,-15.82716,69.471504
US_WI_55123,2020-02-14,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,7.36,6.66,,,,5.26,14.02,7.71,,9.11,6.66,,,4.91,23.14,,,,32.6,5.61,,-21.116667,-29.866667,-10.866667,0.0508,231.14,-27.364198,57.547992
