location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51678,2020-02-21,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,14,5,,4.73,10.13,21.28,5.07,23.31,-1.127778,-6.472222,3.983333,0.0,,-11.271605,45.98915
US_VA_51678,2020-02-22,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,17,-1,,9.27,22.87,17.31,,32.15,1.227778,-7.277778,11.627778,0.0,,-13.419753,33.633301
US_VA_51678,2020-02-23,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,14,7,,9.57,11.48,29.35,,36.37,4.45,-5.788889,15.0,0.0,,-10.407407,35.147722
US_VA_51678,2020-02-24,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,-5,0,,7.62,7.62,26.08,6.02,21.26,6.122222,-2.661111,14.055556,0.03175,,-3.561728,51.900094
US_VA_51678,2020-02-25,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,32,23,,7.61,17.23,25.64,,28.44,8.783333,3.233333,15.455556,5.870222,,6.351852,84.263192
US_VA_51678,2020-02-26,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,14,1,,8.45,20.12,20.92,6.44,35.4,9.505556,4.811111,14.861111,1.5494,,7.154321,85.532267
US_VA_51678,2020-02-27,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,19,3,,8.68,18.87,34.34,6.42,36.23,2.9,-1.25,11.522222,7.366,,-4.592593,59.909182
US_VA_51678,2020-02-28,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,17,3,,,12.34,23.09,,27.87,0.672222,-2.838889,5.75,0.0,,-7.993827,53.583357
US_VA_51678,2020-02-29,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,9,7,,10.0,21.32,32.65,,39.98,-0.483333,-4.172222,4.327778,0.0,,-8.296296,57.608512
US_VA_51678,2020-03-01,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,22,5,,11.79,21.97,32.15,9.64,29.47,1.577778,-5.866667,12.088889,0.0,,-11.123457,38.909332
US_VA_51678,2020-03-02,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,-3,-3,,9.23,19.06,35.44,5.66,28.89,7.383333,-1.405556,15.433333,0.127,,-3.919753,45.988301
