location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36095,2020-01-31,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,7.66,7.13,7.92,6.07,7.13,25.09,9.77,5.28,4.23,,,5.28,4.49,7.13,26.15,5.55,9.24,,,35.13,,6.07,5.81,4.49,-3.944444,-11.469136,1.820988,0.0,,-8.861111,68.985187
US_NY_36095,2020-02-01,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.24,7.09,8.01,5.24,,,28.65,12.32,,8.01,4.31,7.39,7.7,,,27.42,,,6.16,6.78,32.66,,8.01,5.54,,0.62963,-2.141975,2.487654,0.056444,,-2.201389,81.882046
US_NY_36095,2020-02-02,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,9.13,5.71,8.56,7.99,5.14,5.99,24.54,9.13,,7.71,6.56,4.0,5.71,5.42,,29.39,4.0,7.99,4.85,6.85,34.24,6.28,6.56,4.28,,0.094444,-1.9,2.844444,0.0,,-3.549383,77.477126
US_NY_36095,2020-02-03,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,7.35,4.81,7.6,8.61,,5.83,24.07,11.91,5.32,8.61,5.32,4.81,6.08,4.05,7.85,29.39,8.11,7.09,,7.35,34.45,,8.61,4.81,,2.222222,-1.661111,7.122222,0.6096,,-1.512346,77.401335
US_NY_36095,2020-02-04,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.17,6.0,8.08,7.3,4.17,4.17,25.03,14.6,6.78,9.39,3.65,7.3,4.95,,9.12,29.72,5.74,10.43,,,36.76,5.21,6.0,4.95,,2.066667,-2.888889,8.15,0.0508,,-1.648148,76.959207
US_NY_36095,2020-02-05,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,3.96,6.61,8.19,6.34,4.49,4.76,25.1,12.15,3.96,4.23,4.76,7.66,7.66,6.87,6.61,25.36,8.46,,4.76,6.61,31.71,,6.08,4.23,4.76,1.638889,-2.461111,6.838889,0.0254,,-5.567901,59.840547
US_NY_36095,2020-02-06,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,3.49,4.98,8.47,9.22,4.23,,16.69,9.46,4.98,9.71,3.98,6.23,4.98,5.73,3.49,23.91,3.49,5.98,,6.23,37.36,,3.74,,3.98,-1.155556,-3.372222,1.366667,5.2832,30.48,-4.222222,80.687674
US_NY_36095,2020-02-07,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,5.25,6.82,3.67,4.72,,23.87,14.43,,6.82,,3.67,6.56,,4.98,26.49,6.29,6.56,,,32.79,,4.72,,,0.25,-4.533333,2.866667,7.394222,50.8,-1.419753,90.305399
US_NY_36095,2020-02-08,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.11,5.79,9.32,9.0,,6.11,27.65,18.97,,6.75,4.82,,6.75,8.04,7.72,27.0,,7.07,,5.14,34.08,4.82,4.82,4.5,,-6.305556,-9.516667,-0.455556,11.5062,50.8,-11.358025,70.256123
US_NY_36095,2020-02-09,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.01,4.42,7.96,5.89,6.19,5.01,22.99,7.37,4.72,4.13,9.14,,7.66,4.42,6.19,32.42,6.78,,4.72,5.01,38.91,4.13,7.07,5.6,,-7.888889,-13.527778,-0.861111,0.0254,50.8,-11.320988,78.559085
