location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45023,2020-01-31,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,5.35,8.45,6.76,,,25.91,7.32,4.79,10.42,7.04,,6.76,9.29,25.35,5.35,4.79,5.07,4.51,30.42,6.48,5.35,5.63,3.177778,0.811111,9.8,4.741333,,0.083333,82.44045
US_SC_45023,2020-02-01,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.76,,9.18,6.8,6.12,,20.74,10.54,9.18,6.12,5.44,,,5.1,31.61,5.78,10.54,4.76,,39.43,,9.18,6.12,5.311111,1.538889,11.427778,3.447143,,3.236111,87.534959
US_SC_45023,2020-02-02,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.87,10.05,5.51,6.49,,4.87,18.16,8.76,,4.87,4.87,6.16,,4.87,24.65,,,,,38.92,,5.51,5.84,8.327778,1.572222,17.016667,0.197556,,1.340278,62.844175
US_SC_45023,2020-02-03,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,6.45,4.49,5.89,,5.61,22.15,8.69,,8.97,4.77,6.17,4.21,9.25,32.53,7.29,7.85,3.93,6.73,34.49,6.45,7.01,5.89,13.477778,3.533333,23.866667,0.0,,1.965278,46.601707
US_SC_45023,2020-02-04,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,8.18,7.01,10.22,7.59,,4.38,16.64,11.97,7.88,9.63,6.13,4.67,,7.01,20.15,6.42,6.42,,,41.75,6.42,6.13,6.72,16.322222,11.677778,20.6,0.0,,6.868056,53.235324
US_SC_45023,2020-02-05,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.1,7.66,9.64,7.09,3.97,,26.09,13.33,,7.94,6.52,5.67,5.67,6.24,34.02,3.97,7.66,,,30.34,3.97,4.82,3.97,16.455556,13.838889,19.366667,0.0,,13.673611,83.567071
US_SC_45023,2020-02-06,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,7.45,6.02,7.17,9.74,5.73,4.01,20.92,8.03,4.59,9.17,,4.59,,6.31,25.22,6.31,6.59,,4.3,35.83,,4.01,7.74,17.294444,15.333333,21.022222,15.663333,,16.048611,92.793041
US_SC_45023,2020-02-07,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,7.69,6.41,7.05,8.02,6.41,6.41,20.52,8.98,4.49,8.66,,4.81,,7.37,21.48,8.34,7.69,,,42.32,,5.13,6.09,11.305556,5.411111,18.572222,44.534667,,6.055556,70.764338
US_SC_45023,2020-02-08,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.2,,9.65,8.27,,,15.85,9.65,,9.65,,,6.2,5.51,21.71,7.24,6.89,7.24,,38.6,5.17,7.24,,1.766667,-2.15,5.594444,1.185333,,-2.951389,73.765773
US_SC_45023,2020-02-09,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.72,6.38,8.06,10.08,6.72,,21.17,10.42,,7.06,,4.7,5.38,6.05,24.87,9.07,6.38,,5.38,34.95,4.7,9.74,4.7,4.772222,-0.955556,12.033333,0.254,,0.493056,75.23709
US_SC_45023,2020-02-10,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.55,8.47,7.59,9.93,4.67,5.55,17.81,10.22,4.09,8.47,9.05,,5.55,8.76,42.34,7.88,9.05,6.72,,33.58,,4.96,5.26,7.688889,0.661111,16.772222,0.0,,3.548611,77.14751
