location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ND_38061,2020-02-17,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-6,2,,-32,,29.65,42.35,-6.071429,-9.126984,-3.142857,0.0,,-7.484127,89.809625
US_ND_38061,2020-02-18,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-3,12,,-1,12.96,23.64,28.98,-16.039683,-22.460317,-8.793651,,,-20.349206,69.533275
US_ND_38061,2020-02-19,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-2,0,,5,,16.9,31.5,-20.126984,-25.738095,-12.079365,0.0,,-25.31746,63.305611
US_ND_38061,2020-02-20,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-2,-1,,-3,12.01,30.77,33.77,-11.31746,-19.079365,1.731481,0.0,,-16.119048,67.685612
US_ND_38061,2020-02-21,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-2,5,,8,,29.75,30.53,-1.159722,-6.743056,5.111111,0.0,,-8.229167,58.993951
US_ND_38061,2020-02-22,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,4,15,,,,34.4,42.26,-0.590278,-6.743056,6.486111,0.0,,-6.513889,64.301563
US_ND_38061,2020-02-23,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,7,5,,,,,33.58,-0.319444,-4.840278,3.944444,0.0,,-5.631944,67.549927
US_ND_38061,2020-02-24,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-6,-3,,4,,25.09,28.22,-2.416667,-5.861111,1.138889,0.0,,-6.166667,75.560893
US_ND_38061,2020-02-25,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-4,6,,2,11.69,32.87,40.9,-4.888889,-8.840278,-1.222222,0.0,,-7.5625,81.647606
US_ND_38061,2020-02-26,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,0,2,,7,,37.94,44.13,-7.9375,-12.034722,-1.881944,0.0,,-10.097222,84.543551
US_ND_38061,2020-02-27,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-2,-2,,4,,33.2,36.97,-3.833333,-10.277778,4.006944,0.0,,-5.881944,85.729066
US_ND_38061,2020-02-28,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,3,7,,7,,44.6,34.94,-0.333333,-6.659722,6.916667,0.169333,,-3.291667,80.551911
US_ND_38061,2020-02-29,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,11,7,,,,39.85,34.6,2.423611,-2.381944,10.395833,0.0,,-1.3125,76.4844
US_ND_38061,2020-03-01,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-37,-1,,,14.65,33.22,42.99,-0.6875,-5.1875,6.0,0.0,,-4.486111,75.573013
US_ND_38061,2020-03-02,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-6,2,,4,14.28,44.27,33.56,-3.229167,-8.798611,5.722222,0.889,,-6.319444,79.340956
US_ND_38061,2020-03-03,ChIJMV_YlZLwJlMR1lq_bkvqfOo,Q280838,geoId/38061,US,United States of America,ND,North Dakota,38061,Mountrail County,US,USA,2,,,,,,,10276,5529,4747,1655,1333,1675,1422,1160,1277,1019,478,257,1740295,48.2,-102.37,5027,74.1,-7,15,,5,10.95,40.88,33.58,-0.4375,-4.930556,3.805556,0.423333,,-3.263889,81.392885
