location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MS_28039,2020-02-22,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,13,0,0,,12.08,24.88,,42.65,7.537037,1.450617,15.049383,0.0,-0.861111,58.846602
US_MS_28039,2020-02-23,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,9,19,2,,22.02,30.55,,50.44,10.808642,4.62963,17.987654,0.0,4.388889,68.889939
US_MS_28039,2020-02-24,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,9,14,-14,17.95,27.93,38.57,14.63,53.87,16.407407,13.746914,20.604938,0.225778,13.231481,82.816461
US_MS_28039,2020-02-25,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,15,14,-14,12.57,28.92,34.58,10.06,54.07,17.728395,15.37037,19.648148,3.443111,15.12963,85.641605
US_MS_28039,2020-02-26,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,12,21,2,13.5,29.5,40.5,9.5,41.5,13.351852,10.277778,17.444444,0.536222,8.638889,77.157694
US_MS_28039,2020-02-27,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,21,11,1,,34.26,43.08,,38.41,8.160494,3.765432,13.790123,0.056444,-1.166667,53.832467
US_MS_28039,2020-02-28,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,21,28,0,17.68,30.69,46.81,11.44,40.57,9.216049,2.141975,18.185185,0.0,0.287037,57.631176
US_MS_28039,2020-02-29,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,17,18,0,15.76,16.47,40.83,,40.11,12.333333,3.808642,20.703704,0.0,0.12037,46.109984
US_MS_28039,2020-03-01,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,18,25,8,17.68,37.39,46.23,,47.59,13.518519,6.58642,20.154321,0.0,6.675926,67.06836
US_MS_28039,2020-03-02,ChIJB2Znc_V5m4gRggzEJQT9wGs,Q485445,geoId/28039,US,United States of America,MS,Mississippi,28039,George County,US,USA,2,,,,,,,23951,12115,11836,3604,3315,3310,2865,2981,3083,2524,1666,603,1832966,30.87,-88.64,1253,74.8,28,10,6,10.25,32.22,47.35,8.3,46.37,18.450617,15.771605,22.37037,0.0,14.240741,75.499904
