location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50013,2020-02-16,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,42.7,-2.524691,-7.216049,2.376543,0.084667,487.68,-8.401235,64.359008
US_VT_50013,2020-02-17,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-11,42.67,48.77,-4.333333,-10.259259,1.87037,0.112889,465.328,-11.123457,59.179392
US_VT_50013,2020-02-18,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,2,31.76,50.15,-8.716049,-16.518519,1.91358,2.032,299.72,-12.703704,73.280745
US_VT_50013,2020-02-19,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,0,39.97,57.35,-0.790123,-9.228395,4.203704,1.11125,480.568,-8.012346,58.403707
US_VT_50013,2020-02-20,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-4,,35.24,-12.067901,-15.814815,-8.401235,0.0,478.536,-18.765432,57.700209
US_VT_50013,2020-02-21,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,2,,40.64,-13.691358,-22.91358,-2.314815,0.0,472.44,-19.691358,60.724604
US_VT_50013,2020-02-22,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,37.51,-1.709877,-6.444444,3.320988,0.0,462.915,-9.487654,55.577895
US_VT_50013,2020-02-23,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,27.69,-0.240741,-7.006173,6.722222,0.0,454.152,-5.703704,66.884733
US_VT_50013,2020-02-24,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-11,,59.1,3.580247,-3.530864,9.919753,0.0,418.084,-4.759259,55.427448
US_VT_50013,2020-02-25,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-14,,,2.314815,-1.783951,9.475309,0.0,371.856,-2.098765,72.81929
US_VT_50013,2020-02-26,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-16,39.23,46.06,-0.08642,-2.425926,4.395062,0.28575,359.664,-4.055556,74.829905
US_VT_50013,2020-02-27,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-8,47.23,55.98,0.709877,-3.481481,4.419753,11.176,361.696,-1.555556,84.871743
US_VT_50013,2020-02-28,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-9,30.36,32.15,-5.561728,-8.209877,0.253086,7.96925,401.828,-10.055556,70.882246
US_VT_50013,2020-02-29,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,38.87,34.2,-9.080247,-12.259259,-3.67284,1.397,397.764,-13.12963,72.751187
US_VT_50013,2020-03-01,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,32.97,37.68,-8.858025,-12.833333,-4.820988,0.889,400.05,-13.907407,67.016387
US_VT_50013,2020-03-02,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-6,44.69,,-3.777778,-12.549383,3.814815,0.4445,391.668,-7.753086,74.247947
US_VT_50013,2020-03-03,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,-6,49.11,42.98,3.981481,-1.216049,7.740741,7.84225,354.076,0.993827,81.18171
US_VT_50013,2020-03-04,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,4,44.36,,3.234568,0.32716,8.135802,6.1595,306.324,-0.722222,75.471436
