location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27115,2020-02-01,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,,,,6.67,22.76,5.88,,5.88,31.0,9.42,,,34.53,7.46,,-0.855556,-4.722222,1.777778,0.072571,-4.08642,78.361255
US_MN_27115,2020-02-02,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.21,,8.19,5.96,,26.44,5.96,,,34.26,,6.7,8.56,34.26,7.82,8.19,2.311111,-2.188889,5.577778,0.0,-2.228395,72.024609
US_MN_27115,2020-02-03,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.52,12.77,6.56,7.94,,18.64,6.56,5.18,7.59,42.45,8.28,,5.87,37.96,,5.18,-1.494444,-6.466667,2.05,0.0,-7.141975,65.364567
US_MN_27115,2020-02-04,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.94,5.59,9.79,6.29,6.64,22.72,8.74,4.89,9.09,40.55,,8.74,,31.81,9.44,5.59,-11.861111,-17.944444,-5.888889,0.0,-17.567901,62.42104
US_MN_27115,2020-02-05,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,,10.38,5.37,5.01,24.34,6.08,,8.59,34.36,7.16,7.16,6.44,33.65,6.8,,-11.116667,-17.822222,-1.572222,0.0,-16.17284,65.923754
US_MN_27115,2020-02-06,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,9.59,8.52,11.36,5.33,5.33,20.23,,,7.46,33.02,,8.16,,31.59,6.04,,-8.194444,-15.711111,-0.944444,0.0,-13.574074,65.229816
US_MN_27115,2020-02-07,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.29,6.2,6.93,,,13.85,5.83,,5.83,21.87,,8.02,,37.18,7.66,,-7.372222,-11.183333,-3.5,0.0,-11.185185,73.695781
US_MN_27115,2020-02-08,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,8.95,,5.84,,5.84,19.07,6.62,,,25.69,6.23,,,33.08,5.84,,-10.95,-18.522222,-6.527778,0.0,-16.092593,65.622635
US_MN_27115,2020-02-09,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,10.4,8.91,,,20.79,11.14,7.43,5.94,28.22,8.17,,7.05,33.05,5.2,,-8.1,-10.25,-4.811111,0.0,-15.006173,57.499072
US_MN_27115,2020-02-10,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.37,4.92,,,8.43,17.2,9.13,7.37,4.92,34.06,9.13,5.97,5.62,39.32,5.27,,-10.538889,-17.644444,-2.15,0.0,-13.574074,78.239113
