location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01023,2020-02-17,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,-44,-15,-13,24.86,35.33,12.923611,9.590278,18.881944,2.9845,11.407407,85.504267
US_AL_01023,2020-02-18,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-3,6,24.49,20.41,17.909722,14.486111,23.368056,2.3495,17.277778,89.784371
US_AL_01023,2020-02-19,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-9,2,31.73,33.78,13.265432,9.814815,20.716049,9.04875,11.416667,91.799872
US_AL_01023,2020-02-20,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-8,0,22.77,18.81,9.185185,6.018519,10.938272,15.52575,8.0,93.252055
US_AL_01023,2020-02-21,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,-8,-9,-2,19.69,25.15,4.450617,-0.030864,9.166667,38.735,-1.013889,66.680874
US_AL_01023,2020-02-22,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-9,,,36.2,4.061728,-2.592593,13.95679,0.0,-2.0,62.421389
US_AL_01023,2020-02-23,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-3,,27.87,43.35,7.907407,2.320988,14.419753,0.0,2.972222,68.694874
US_AL_01023,2020-02-24,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-9,5,30.97,37.16,12.530864,9.024691,17.135802,0.762,9.138889,76.425109
US_AL_01023,2020-02-25,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-2,5,44.81,32.86,15.166667,9.944444,17.444444,6.858,12.291667,81.973715
US_AL_01023,2020-02-26,ChIJudf5RKvhhIgRL_9Xfo0IOS8,Q111254,geoId/01023,US,United States of America,AL,Alabama,01023,Choctaw County,US,USA,2,,,,,,,12925,6131,6794,1341,1528,1390,1282,1505,1990,1826,1350,713,1848764,32.020278,-88.263056,123,2385,74.7,,-4,6,27.6,43.52,9.635802,6.506173,14.833333,0.1905,6.694444,80.722479
