location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WY_56009,2020-02-04,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,19.19,23.57,33.44,-11.361111,-15.9375,-5.069444,1.93675,299.72,-14.539683,78.936216
US_WY_56009,2020-02-05,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,8.79,20.5,27.53,34.56,-12.135802,-20.58642,-4.08642,0.423333,279.4,-17.305556,64.689019
US_WY_56009,2020-02-06,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,11.99,22.18,24.58,39.57,-5.567901,-13.425926,-0.728395,0.028222,200.66,-10.243056,67.823068
US_WY_56009,2020-02-07,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,23.04,29.7,25.46,-4.354167,-10.8125,-0.25,0.508,149.86,-8.515873,73.43442
US_WY_56009,2020-02-08,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,17.55,22.28,29.03,-2.604167,-10.486111,6.680556,0.127,200.66,-6.992063,71.936115
US_WY_56009,2020-02-09,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,12.41,17.64,25.48,29.4,-3.979167,-9.083333,6.5,0.15875,129.54,-7.753968,76.981884
US_WY_56009,2020-02-10,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,18.02,29.44,38.45,-5.590278,-9.041667,-2.027778,0.0635,129.54,-10.833333,67.421677
US_WY_56009,2020-02-11,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,13.68,32.13,32.13,-6.703704,-12.851852,0.462963,0.0,99.06,-14.326389,57.105757
US_WY_56009,2020-02-12,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,10.54,11.13,23.43,42.77,-3.641975,-10.45679,0.111111,0.0635,99.06,-9.722222,63.933205
US_WY_56009,2020-02-13,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,9.34,24.27,37.96,-10.458333,-15.868056,-2.215278,1.04775,180.34,-13.825397,76.316649
US_WY_56009,2020-02-14,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,,24.63,29.69,-0.979167,-10.590278,8.243056,0.22225,180.34,-9.325397,53.490259
US_WY_56009,2020-02-15,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-7,-13,,-9,,15.45,21.06,34.4,-2.472222,-9.513889,6.951389,0.0,129.54,-10.079365,57.655117
US_WY_56009,2020-02-16,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-8,-5,,-10,,17.43,21.45,38.88,-1.069444,-8.819444,5.506944,0.0,129.54,-8.277778,58.262873
US_WY_56009,2020-02-17,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-14,-7,,-23,,16.78,20.25,34.15,-1.902778,-5.902778,5.0,0.9525,99.06,-6.436508,73.012552
US_WY_56009,2020-02-18,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-5,-1,,2,,15.39,33.73,40.24,-7.277778,-12.179012,-0.969136,1.354667,129.54,-12.423611,69.716718
US_WY_56009,2020-02-19,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-8,-6,,2,,13.81,25.23,36.64,-10.191358,-14.962963,-3.314815,0.197556,99.06,-14.013889,76.218969
US_WY_56009,2020-02-20,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-3,3,,-1,16.64,11.09,22.8,30.81,-10.444444,-18.154321,-0.950617,0.112889,99.06,-16.854167,60.172971
US_WY_56009,2020-02-21,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-8,14,,-3,10.34,12.77,28.58,32.84,-3.12963,-13.518519,6.820988,0.0,99.06,-16.909722,34.790782
US_WY_56009,2020-02-22,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,1,12,,5,,11.37,20.61,32.69,2.481481,-4.993827,8.611111,0.0,99.06,-11.180556,37.004706
US_WY_56009,2020-02-23,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,-9,14,,-10,,12.98,21.01,32.75,0.345679,-6.364198,8.401235,0.0,50.8,-8.388889,53.275594
