location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05071,2020-02-02,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,11.19,14.24,10.68,34.07,8.13,10.68,36.1,12.71,44.24,9.66,11.744444,3.15,24.466667,0.0,,-0.672222,44.677153
US_AR_05071,2020-02-03,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,9.77,5.86,31.64,6.25,9.38,32.81,,41.8,6.25,15.755556,11.394444,20.6,0.0,,4.366667,48.228918
US_AR_05071,2020-02-04,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,8.27,8.67,31.12,13.0,10.64,28.76,5.91,37.03,5.91,10.766667,4.433333,18.088889,14.078857,,9.044444,89.162773
US_AR_05071,2020-02-05,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,8.74,9.54,8.74,26.62,7.15,9.54,34.56,,37.35,,2.866667,1.233333,4.944444,11.43,,1.766667,92.635719
US_AR_05071,2020-02-06,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,5.53,6.71,9.08,26.05,11.84,6.32,31.57,8.68,36.7,7.1,-0.633333,-1.938889,1.616667,5.136444,,-3.166667,83.09662
US_AR_05071,2020-02-07,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,9.58,9.58,10.49,23.72,6.84,,32.39,7.3,46.99,,0.338889,-4.9,8.5,0.127,,-4.2,71.64368
US_AR_05071,2020-02-08,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,11.33,15.65,9.17,30.76,,,36.7,9.17,39.4,14.57,3.533333,-3.422222,12.694444,0.127,,-2.294444,65.795261
US_AR_05071,2020-02-09,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,16.41,17.44,,29.75,12.31,,29.23,8.72,50.77,,10.544444,5.222222,15.972222,0.47625,,4.477778,66.509671
US_AR_05071,2020-02-10,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,13.48,10.88,36.1,11.31,12.62,33.06,11.31,46.55,7.83,7.905556,4.183333,15.016667,5.842,,6.872222,93.332107
US_AR_05071,2020-02-11,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,8.36,8.36,,26.33,11.7,10.45,26.75,9.61,38.03,,4.122222,2.466667,7.094444,4.868333,,1.1,80.842847
