location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28029,2020-02-03,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.74,12.15,5.06,16.53,7.09,27.33,9.11,29.36,5.06,15.205556,6.883333,22.938889,0.0,,8.25,63.464222
US_MS_28029,2020-02-04,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,10.09,5.72,10.76,17.15,5.72,24.55,,29.59,,18.111111,13.888889,22.483333,0.145143,,15.138889,82.925895
US_MS_28029,2020-02-05,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,7.17,7.82,8.8,15.64,8.8,20.85,,29.97,,20.17284,16.067901,22.58642,7.837714,,18.944444,92.753742
US_MS_28029,2020-02-06,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,5.58,,15.43,7.55,25.61,,24.3,5.91,9.45,5.25,16.65,35.2425,,7.983333,90.653175
US_MS_28029,2020-02-07,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.79,8.32,6.15,11.57,5.79,22.78,5.79,29.29,,4.533333,-1.433333,13.511111,2.032,,-1.355556,65.833299
US_MS_28029,2020-02-08,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,12.57,8.08,,17.5,,28.27,,33.66,,9.938889,3.594444,17.544444,0.0,,2.361111,59.546823
US_MS_28029,2020-02-09,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,9.21,,13.82,12.98,19.68,6.28,30.99,,14.016667,6.733333,23.088889,0.0,,7.472222,65.190247
US_MS_28029,2020-02-10,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.47,6.76,,11.9,9.33,25.41,,28.31,5.47,18.888889,14.705556,24.061111,15.90675,,16.444444,85.837184
US_MS_28029,2020-02-11,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,7.23,7.89,5.92,15.45,6.24,21.69,4.93,31.55,,16.361111,10.233333,22.494444,25.2095,,15.066667,92.157777
US_MS_28029,2020-02-12,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,9.9,8.91,6.27,13.21,7.26,20.8,6.6,28.39,,14.538889,9.9,25.183333,10.450286,,13.138889,91.399408
US_MS_28029,2020-02-13,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,7.42,7.42,5.4,12.15,5.4,19.91,5.4,26.32,6.75,12.194444,7.494444,19.333333,25.36825,,10.127778,87.353137
US_MS_28029,2020-02-14,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,10.3,6.49,11.83,6.49,16.79,6.49,25.18,,6.194444,1.377778,11.722222,2.5654,,-0.577778,62.04597
US_MS_28029,2020-02-15,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,5,3,4,,7.07,,9.28,,17.23,,28.72,,7.933333,0.027778,18.894444,0.0,,-1.916667,49.95988
US_MS_28029,2020-02-16,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,1,-2,-2,7.59,8.39,,11.58,6.39,20.77,8.39,31.15,,12.294444,9.072222,15.827778,7.112,,8.361111,77.131494
US_MS_28029,2020-02-17,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,-4,-15,-8,9.21,10.99,,16.66,,20.56,,23.39,,13.994444,11.45,18.844444,2.257778,,12.566667,91.289941
US_MS_28029,2020-02-18,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,1,18,7,,9.25,6.61,16.19,10.24,29.74,4.96,28.75,8.59,19.044444,15.027778,23.677778,0.310444,,17.85,92.908712
US_MS_28029,2020-02-19,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,-8,-13,-1,6.61,5.67,,8.5,10.07,22.98,5.04,25.81,,12.316667,9.433333,20.688889,4.699,,11.411111,94.302553
