location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48171,2020-01-31,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.32,9.3,15.61,6.31,4.65,6.97,28.57,7.31,,9.96,,,5.98,4.65,10.96,34.21,6.64,,5.32,5.32,46.17,,4.98,6.64,6.97,7.351852,3.444444,14.265432,0.0,,2.680556,72.414659
US_TX_48171,2020-02-01,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,12.28,13.02,8.56,6.32,7.07,17.11,7.44,,8.18,,,6.32,5.21,11.16,24.55,,8.56,,,37.95,5.58,9.3,5.58,,9.438272,1.339506,21.345679,0.0,,0.006944,52.187196
US_TX_48171,2020-02-02,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,6.63,11.05,15.46,7.0,6.26,,19.51,,,6.26,,9.94,9.94,6.26,12.15,28.72,,7.0,,5.16,40.87,,6.26,5.52,5.89,12.425926,2.925926,24.524691,0.0,,-1.541667,39.496819
US_TX_48171,2020-02-03,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.46,10.27,19.9,7.38,6.74,7.38,21.83,13.16,4.49,10.27,,,8.03,,8.67,29.85,5.46,7.06,,8.99,44.62,,6.74,8.35,,15.604938,11.37037,20.734568,0.0,,6.444444,54.868616
US_TX_48171,2020-02-04,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,6.09,14.43,11.54,,4.49,6.09,19.88,9.62,5.13,8.98,,6.41,,7.05,12.51,28.22,8.02,7.05,6.09,6.74,41.37,,8.02,5.13,,16.594444,10.322222,22.777778,0.141111,,12.901235,79.713923
US_TX_48171,2020-02-05,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,9.6,11.15,8.37,7.13,5.27,19.52,5.27,6.2,6.2,6.51,,4.65,,7.75,31.91,5.89,,4.65,7.75,33.46,,6.51,5.89,6.2,3.655556,0.8,11.055556,0.254,,1.419753,85.26077
US_TX_48171,2020-02-06,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,8.68,9.64,7.39,,6.75,23.14,7.07,,7.39,,7.39,8.03,5.78,7.71,34.7,8.03,6.43,7.71,6.43,37.27,4.82,5.78,8.36,4.82,2.05,-3.511111,11.872222,0.1016,,-5.185185,58.727385
US_TX_48171,2020-02-07,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.64,8.46,13.47,6.58,5.64,5.01,15.66,5.33,6.58,6.58,5.33,,,,9.71,22.24,5.33,,,7.83,33.52,6.89,6.26,,5.95,8.122222,-0.511111,20.783333,0.0,,-3.808642,43.446484
US_TX_48171,2020-02-08,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,11.64,11.99,7.05,6.7,7.05,19.75,10.58,,10.23,6.35,4.94,5.64,,4.94,26.45,6.7,6.7,5.64,,33.15,,7.05,5.64,,9.75,2.766667,19.077778,0.0,,1.54321,57.289729
US_TX_48171,2020-02-09,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,13.63,18.66,8.61,7.89,8.97,21.89,11.48,8.61,7.18,5.02,6.1,11.84,6.1,8.25,33.73,8.25,10.4,6.1,7.89,41.98,5.38,7.18,8.61,5.38,18.016667,13.111111,23.361111,0.0,,14.697531,80.541906
US_TX_48171,2020-02-10,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,4.59,6.42,14.98,6.12,5.2,6.42,22.93,10.39,4.59,11.62,7.34,7.03,5.5,4.59,7.95,30.88,5.2,4.59,,5.81,37.61,5.5,,7.64,,15.883333,7.277778,22.005556,0.169333,,13.141975,83.57999
US_TX_48171,2020-02-11,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,4.67,4.36,10.89,8.4,8.09,7.16,21.16,9.34,5.91,10.27,,5.91,4.36,6.54,9.03,23.96,7.16,4.98,4.67,7.47,42.63,,5.29,,,5.738889,4.244444,8.938889,2.003778,,4.216049,89.480192
