location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48217,2020-01-31,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.94,7.41,13.58,8.33,5.86,7.41,8.02,29.62,8.33,4.32,9.88,,7.41,6.17,5.86,8.33,8.33,38.88,6.17,7.1,5.55,5.55,4.63,37.96,6.48,9.88,4.94,5.86,,8.037037,5.524691,13.333333,0.0,,3.290123,72.159156
US_TX_48217,2020-02-01,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,11.8,6.09,11.04,5.71,,8.38,,33.12,14.47,5.71,8.76,,,5.33,,6.85,6.47,38.45,6.09,,,,9.52,44.54,,8.38,9.52,6.85,7.61,8.419753,-0.450617,19.666667,0.0,,0.58642,58.059093
US_TX_48217,2020-02-02,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,11.99,9.08,13.44,,9.81,,7.26,22.16,9.08,5.09,11.26,,9.08,,5.45,,10.54,30.15,5.09,6.54,,,,38.87,,8.36,6.17,5.09,6.17,14.135802,4.32716,26.82716,0.0,,0.055556,38.323138
US_TX_48217,2020-02-03,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.25,7.09,10.21,6.81,4.54,8.22,4.82,20.99,8.22,6.81,11.06,,,10.49,,4.25,8.79,28.93,5.39,5.67,5.39,5.39,6.52,37.44,,7.66,4.82,,4.25,16.592593,10.95679,22.222222,0.0,,8.685185,59.758084
US_TX_48217,2020-02-04,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,5.73,8.31,6.02,8.02,5.73,5.73,23.79,8.31,,11.75,5.73,,6.3,6.59,,7.45,31.81,4.87,4.58,4.3,,5.73,37.26,,6.3,,,6.02,15.876543,7.987654,20.283951,0.705556,,13.87037,88.034575
US_TX_48217,2020-02-05,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,14.29,10.09,7.0,5.6,,5.04,21.01,11.49,,10.09,,6.44,,,,7.29,27.74,7.29,8.69,5.88,,5.6,38.39,,4.76,4.2,4.76,5.32,4.049383,1.734568,7.91358,0.056444,,1.567901,83.993592
US_TX_48217,2020-02-06,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.76,3.94,13.24,6.76,,8.73,5.92,15.78,8.17,4.51,9.86,3.94,4.51,,,9.3,6.48,31.55,9.01,5.63,,5.35,,40.28,4.51,6.48,3.94,,,2.469136,-2.351852,9.246914,0.834571,,-3.839506,63.369996
US_TX_48217,2020-02-07,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.11,7.63,8.51,,,,4.99,18.19,10.56,5.87,9.1,5.28,4.69,,,5.28,14.08,27.58,6.75,7.63,,6.45,,36.09,,5.57,5.87,,7.04,6.598765,-0.740741,17.037037,0.0,,-2.820988,51.125788
US_TX_48217,2020-02-08,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,8.84,11.79,13.63,12.9,7.37,5.53,,18.05,15.47,6.63,10.69,8.84,,7.74,,,,30.21,,,,,,42.74,,9.21,5.53,,5.53,9.691358,0.493827,18.820988,0.0,,0.055556,51.201343
US_TX_48217,2020-02-09,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.54,11.08,11.43,7.62,10.74,6.93,,20.43,12.81,,8.66,5.2,,7.97,,,12.12,30.82,9.01,11.78,,5.89,6.93,50.22,5.2,9.35,5.2,,,17.018519,14.209877,21.185185,0.0,,13.598765,80.402105
