location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51139,2020-01-31,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,7.52,8.54,34.85,8.2,6.83,41.68,5.12,37.58,,1.183333,-2.661111,5.294444,0.3175,-1.845679,80.069248
US_VA_51139,2020-02-01,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,10.17,9.39,22.69,8.21,7.43,36.77,7.43,38.33,8.61,1.611111,-3.211111,8.955556,1.2065,-0.154321,89.206838
US_VA_51139,2020-02-02,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,9.91,8.81,6.24,29.38,8.81,8.81,34.88,7.71,33.42,8.45,6.327778,-0.111111,15.888889,0.3048,-0.111111,64.224513
US_VA_51139,2020-02-03,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,10.2,9.03,31.39,9.42,,32.57,7.85,44.73,7.85,13.044444,5.444444,19.866667,0.0,-0.37037,41.297602
US_VA_51139,2020-02-04,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,9.51,14.47,36.39,7.86,7.86,34.33,8.69,42.6,11.99,15.966667,11.283333,20.744444,0.0508,4.5,47.134096
US_VA_51139,2020-02-05,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,7.29,9.31,8.1,22.27,,6.48,27.13,6.88,49.0,7.29,9.9,2.777778,17.794444,0.508,6.104938,77.958353
US_VA_51139,2020-02-06,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.78,11.57,,25.54,7.18,10.78,29.54,7.18,41.91,6.79,3.988889,2.372222,7.9,5.037667,3.537037,96.235477
US_VA_51139,2020-02-07,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.89,9.66,7.73,27.06,8.89,6.57,36.34,,43.29,9.28,8.261111,1.8,12.55,19.388667,3.888889,74.058304
US_VA_51139,2020-02-08,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,7.83,9.39,9.0,29.75,10.57,,36.41,8.22,35.62,7.44,1.511111,-2.983333,7.783333,2.721429,-6.962963,53.285701
US_VA_51139,2020-02-09,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,10.48,8.54,9.32,29.12,6.99,6.99,34.55,8.54,38.05,5.82,2.05,-4.272222,9.811111,0.0,-4.018519,65.007317
